"Zeitstempel","Do you have a background in biology or life sciences?","How confident are you in using graphical user interfaces (GUIs)?","How confident are you in using command-line interfaces (CLIs)?","How much experience do you have with programming?","How often do you encounter information about species, organisms or taxonomic classifications?","When you first opened Vitax, the interface was:","Did you use the tutorial?","How easy was it to search for an taxon?","Rate the following statements about the usability of Vitax: [The interface was easy to navigate]","Rate the following statements about the usability of Vitax: [The visualizations helped me understand relationships between organisms]","Rate the following statements about the usability of Vitax: [I could easily find what I was looking for]","Rate the following statements about the usability of Vitax: [The design was visually appealing]","Rate the following statements about the usability of Vitax: [The application responded quickly to my actions]","Rate the following statements about the usability of Vitax: [I learned something new while using Vitax]","Rate the following statements about the usability of Vitax: [Vitax made me curious to further explore the taxonomy]","Rate the following statements about the usability of Vitax: [I would use Vitax again]","Which visualizations did you prefer? (Skip if no preference)","Did you discover any additional information about taxa (e.g. links, publications, accessions)?","Which features did you interact with?","After using Vitax, do you feel you better understand how organisms are related to each other?","If you tried to do something but could not figure out how, please describe it:","Did you find the information presented...","Did exploring Vitax make you curious about taxa or topics you were not initially interested in?","What is you current role / position?","What is your field of expertise?","How often do you work with taxonomic data?","Which tools do you currently use for exploring taxonomic relationships? (Skip if none)","Were you able to complete all steps of the task?","Which steps were easiest to complete?","Which steps were most challenging or unclear? (Skip if none)","How useful was the neighbors functionality for exploring related taxa? (Skip if you did not use it)","Which visualizations did you find most effective for this task? (Skip if no preference)","How useful was the accession filter in helping you identify relevant taxa quickly? (Skip if you did not use it)","Overall, how well did Vitax support completing this biological task?","Any additional comments about the task experience?","Rate the following statements about the usability and functionality of Vitax (Skip questions that you can not answer because you did not use the feature): [The search functionality was intuitive and easy to use]","Rate the following statements about the usability and functionality of Vitax (Skip questions that you can not answer because you did not use the feature): [The visualization clearly shows taxonomic relationships]","Rate the following statements about the usability and functionality of Vitax (Skip questions that you can not answer because you did not use the feature): [Navigating the taxonomic tree was straightforward]","Rate the following statements about the usability and functionality of Vitax (Skip questions that you can not answer because you did not use the feature): [The different visualization types (Tree, Graph, Pack) were helpful]","Rate the following statements about the usability and functionality of Vitax (Skip questions that you can not answer because you did not use the feature): [The accession filtering feature was useful]","Rate the following statements about the usability and functionality of Vitax (Skip questions that you can not answer because you did not use the feature): [The metadata (links, publications, accessions) added value]","Rate the following statements about the usability and functionality of Vitax (Skip questions that you can not answer because you did not use the feature): [The interface was visually appealing]","Rate the following statements about the usability and functionality of Vitax (Skip questions that you can not answer because you did not use the feature): [Vitax responded quickly to my actions]","Rate the following statements about the usability and functionality of Vitax (Skip questions that you can not answer because you did not use the feature): [Vitax encouraged me to explore taxonomic relationships beyond my initial query]","Rate the following statements about the usability and functionality of Vitax (Skip questions that you can not answer because you did not use the feature): [I discovered unexpected relationships or information while using Vitax]","Rate the following statements about the usability and functionality of Vitax (Skip questions that you can not answer because you did not use the feature): [I would use Vitax for my own research / teaching]","How does Vitax compare to other taxonomic visualization tools you have used?","What advantages does Vitax offer compared to other taxonomic tools that you have used?","What features from other tools would you like to see in Vitax?","Vitax is designed to provide features that are usually only accessible from command-line tools or programming libraries. How well does it achieve this goal? (Skip if you have not used taxonomic CLI tools or libraries before)","Which features did you find most valuable? (Skip if none)","Were there any missing features, that would enhance your workflow?","If you encountered any bugs, errors or confusing behaviour, please describe it:","What would make Vitax more useful for your research or teaching?","Overall, how would you rate your experience with Vitax?","What was the most interesting thing you discovered while using Vitax?","What did you like most about Vitax?","What did you like least about Vitax?","How likely are you to recommend Vitax to a friend or colleague?","What would make Vitax more enjoyable or useful for you?","Any additional comments or suggestions?"
"2025/11/10 6:08:47 PM MEZ","No background","5","4","4","1","3","Yes, but it did not help much","2","Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Tree (hierarchical branching structure)","No, I did not look for it","Expanding the displayed hierarchy;Hierarchical list view;Switching between visualizations","No change","","Too technical / complex","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","4","More backgroung Knowledge","You need background Knowledge to understand what you Canon do with that tool"
"2025/11/10 6:33:13 PM MEZ","Somewhat familiar","5","2","2","2","4","No, I did not need it","4","Strongly Agree","Strongly Agree","Agree","Somewhat Agree","Somewhat Agree","Agree","Somewhat Agree","Strongly Agree","Tree (hierarchical branching structure)","Yes, and it was interesting","Search;Expanding the displayed hierarchy;Switching between visualizations;Viewing metadata (links, publications, accessions, etc.);Switching themes (light / dark)","Yes, somewhat better","","Just right","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","4","",""
"2025/11/10 8:28:41 PM MEZ","Yes, studied in school / university","5","3","3","","","","","","","","","","","","","","","","","","","","Bachelor student","agriculture","1","","Completed most steps","Searching for taxa;Exploring the taxonomic tree;Finding Homo sapiens and following its taxonomic path;Using the accession filter;Exploring neighbors;Switching between visualizations","Finding the MRCA","5","Pack (circular nested bubbles)","5","5","","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Somewhat Agree","Agree","Agree","Agree","","","","","Search functionality;Interactive Tree visualization;Alternative visualization types (Graph, Pack)","","","","4","","","","4","",""
"2025/11/10 8:32:29 PM MEZ","Yes, studied in school / university","6","3","3","","","","","","","","","","","","","","","","","","","","Master student","Molecular Biology","1","","Yes, completed all steps","Searching for taxa;Exploring the taxonomic tree;Finding Homo sapiens and following its taxonomic path;Using the accession filter;Exploring neighbors;Switching between visualizations;Finding the MRCA","Accessing metadata","6","Tree (hierarchical branching structure)","5","6","","Strongly Agree","Strongly Agree","Agree","Somewhat Agree","Agree","Strongly Agree","Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","","","","4","Search functionality;Interactive Tree visualization;Neighbors functionality;MRCA functionality;Descendants functionality;Metadata integration;Download functionality (Genome accessions)","","- Sometimes I had to refresh the page because the tree did not render correctly. - The page did not load after trying to visualize a big family (e.g. Tetrapoda).","","4","","Searching for MRAC, Tree visualization","","6","","Really good job!"
"2025/11/10 8:35:14 PM MEZ","No background","4","2","2","2","6","Yes, it was helpful","6","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Agree","Tree (hierarchical branching structure)","Yes, and it was interesting","Search;Expanding the displayed hierarchy;Hierarchical list view;Switching between visualizations;Viewing metadata (links, publications, accessions, etc.)","Yes, somewhat better","","Just right","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","Easily accessible abstract/summary of publications","","5","","Darkmode welcome page had black on black text"
"2025/11/10 9:29:20 PM MEZ","No background","4","1","1","2","4","No, I did not need it","4","Agree","Somewhat Agree","Agree","Agree","Somewhat Agree","Agree","Somewhat Disagree","Agree","Graph (connected network structure)","No, I did not look for it","Search;Switching between visualizations;Filtering options","Yes, somewhat better","","Appropriately varied","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","3","",""
"2025/11/11 12:22:43 AM MEZ","No background","5","2","3","4","5","Yes, it was helpful","6","Agree","Somewhat Disagree","Agree","Agree","Agree","Agree","Somewhat Agree","Agree","Tree (hierarchical branching structure)","No, I did not look for it","Search;Expanding the displayed hierarchy;Hierarchical list view;Switching between visualizations","No change","","Too technical / complex","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","4","Maybe more backround information about the taxons, for example a direct link/connection to their Wikipedia articles. Or a brief summary on the taxon generated trough AI",""
"2025/11/11 7:11:11 AM MEZ","Yes, professional background (work)","1","1","1","","","","","","","","","","","","","","","","","","","","Lab worker ","Analytik ","1","","Completed about half","Searching for taxa;Exploring the taxonomic tree;Finding Homo sapiens and following its taxonomic path;Using the accession filter","Exploring neighbors;Switching between visualizations;Accessing metadata;Finding the MRCA","","Tree (hierarchical branching structure)","5","4","","Somewhat Disagree","Agree","Agree","Agree","Agree","","Agree","Somewhat Agree","","","","","","","","","","","","3","","","","4","",""
"2025/11/11 10:24:01 AM MEZ","Yes, studied in school / university","6","4","3","","","","","","","","","","","","","","","","","","","","PhD student","Molecular Biology","1","I dont use them really","Yes, completed all steps","Searching for taxa;Using the accession filter;Switching between visualizations;Finding the MRCA","","6","Tree (hierarchical branching structure)","6","6","","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","","","","","Search functionality;Interactive Tree visualization","","","","5","","","","4","",""
"2025/11/13 1:27:12 PM MEZ","Yes, professional background (work)","5","4","3","","","","","","","","","","","","","","","","","","","","PhD student","Structural Biology","2","NCBI Taxonomy Browser;Tree of Life Web Project;Lifemap","Completed most steps","Searching for taxa","Finding Homo sapiens and following its taxonomic path;Using the accession filter","","Tree (hierarchical branching structure)","6","5","Nice Job :D","Somewhat Agree","Somewhat Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Somewhat Disagree","Disagree","Disagree","Somewhat Agree","4","Better Suggestions how to use ","Degree of relation? ","","Neighbors functionality","Modifiable Export for figures","Sometimes only a dot appears ","","4","","","","5","",""
